inflected form,base form,number,gender,group,case,concat form
ніжечка,ніжечка,1,f,inanim,N,ніжечка1N
ніжечки,ніжечка,1,f,inanim,G,ніжечка1G
ніжечці,ніжечка,1,f,inanim,D,ніжечка1D
ніжечку,ніжечка,1,f,inanim,A,ніжечка1A
ніжечкою,ніжечка,1,f,inanim,I,ніжечка1I
ніжечці,ніжечка,1,f,inanim,L,ніжечка1L
ніжечко,ніжечка,1,f,inanim,V,ніжечка1V
ніжечки,ніжечка,2,f,inanim,N,ніжечка2N
ніжечок,ніжечка,2,f,inanim,G,ніжечка2G
ніжечкам,ніжечка,2,f,inanim,D,ніжечка2D
ніжечки,ніжечка,2,f,inanim,A,ніжечка2A
ніжечками,ніжечка,2,f,inanim,I,ніжечка2I
ніжечках,ніжечка,2,f,inanim,L,ніжечка2L
ніжечки,ніжечка,2,f,inanim,V,ніжечка2V
тепловивільнення,тепловивільнення,1,n,inanim,N,тепловивільнення1N
тепловивільнення,тепловивільнення,1,n,inanim,G,тепловивільнення1G
тепловивільненню,тепловивільнення,1,n,inanim,D,тепловивільнення1D
тепловивільнення,тепловивільнення,1,n,inanim,A,тепловивільнення1A
тепловивільненням,тепловивільнення,1,n,inanim,I,тепловивільнення1I
тепловивільненні,тепловивільнення,1,n,inanim,L,тепловивільнення1L
тепловивільненню,тепловивільнення,1,n,inanim,L,тепловивільнення1L
тепловивільнення,тепловивільнення,1,n,inanim,V,тепловивільнення1V
пралка,пралка,1,f,inanim,N,пралка1N
пралки,пралка,1,f,inanim,G,пралка1G
пралці,пралка,1,f,inanim,D,пралка1D
пралку,пралка,1,f,inanim,A,пралка1A
пралкою,пралка,1,f,inanim,I,пралка1I
пралці,пралка,1,f,inanim,L,пралка1L
пралко,пралка,1,f,inanim,V,пралка1V
пралки,пралка,2,f,inanim,N,пралка2N
пралок,пралка,2,f,inanim,G,пралка2G
пралкам,пралка,2,f,inanim,D,пралка2D
пралки,пралка,2,f,inanim,A,пралка2A
пралками,пралка,2,f,inanim,I,пралка2I
пралках,пралка,2,f,inanim,L,пралка2L
пралки,пралка,2,f,inanim,V,пралка2V
підбавка,підбавка,1,f,inanim,N,підбавка1N
підбавки,підбавка,1,f,inanim,G,підбавка1G
підбавці,підбавка,1,f,inanim,D,підбавка1D
підбавку,підбавка,1,f,inanim,A,підбавка1A
підбавкою,підбавка,1,f,inanim,I,підбавка1I
підбавці,підбавка,1,f,inanim,L,підбавка1L
підбавко,підбавка,1,f,inanim,V,підбавка1V
підбавки,підбавка,2,f,inanim,N,підбавка2N
підбавок,підбавка,2,f,inanim,G,підбавка2G
підбавкам,підбавка,2,f,inanim,D,підбавка2D
підбавки,підбавка,2,f,inanim,A,підбавка2A
підбавками,підбавка,2,f,inanim,I,підбавка2I
підбавках,підбавка,2,f,inanim,L,підбавка2L
підбавки,підбавка,2,f,inanim,V,підбавка2V
рифей,рифей,1,m,inanim,N,рифей1N
рифея,рифей,1,m,inanim,G,рифей1G
рифеєві,рифей,1,m,inanim,D,рифей1D
рифею,рифей,1,m,inanim,D,рифей1D
рифей,рифей,1,m,inanim,A,рифей1A
рифеєм,рифей,1,m,inanim,I,рифей1I
рифеєві,рифей,1,m,inanim,L,рифей1L
рифеї,рифей,1,m,inanim,L,рифей1L
рифею,рифей,1,m,inanim,L,рифей1L
рифею,рифей,1,m,inanim,V,рифей1V
похідність,похідність,1,f,inanim,N,похідність1N
похідності,похідність,1,f,inanim,G,похідність1G
похідности,похідність,1,f,inanim,G,похідність1G
похідності,похідність,1,f,inanim,D,похідність1D
похідність,похідність,1,f,inanim,A,похідність1A
похідністю,похідність,1,f,inanim,I,похідність1I
похідності,похідність,1,f,inanim,L,похідність1L
похідносте,похідність,1,f,inanim,V,похідність1V
запомин,запомин,1,m,inanim,N,запомин1N
запомину,запомин,1,m,inanim,G,запомин1G
запоминові,запомин,1,m,inanim,D,запомин1D
запомину,запомин,1,m,inanim,D,запомин1D
запомин,запомин,1,m,inanim,A,запомин1A
запомином,запомин,1,m,inanim,I,запомин1I
запомині,запомин,1,m,inanim,L,запомин1L
запоминові,запомин,1,m,inanim,L,запомин1L
запомину,запомин,1,m,inanim,L,запомин1L
запомине,запомин,1,m,inanim,V,запомин1V
копіткість,копіткість,1,f,inanim,N,копіткість1N
копіткості,копіткість,1,f,inanim,G,копіткість1G
копіткости,копіткість,1,f,inanim,G,копіткість1G
копіткості,копіткість,1,f,inanim,D,копіткість1D
копіткість,копіткість,1,f,inanim,A,копіткість1A
копіткістю,копіткість,1,f,inanim,I,копіткість1I
копіткості,копіткість,1,f,inanim,L,копіткість1L
копіткосте,копіткість,1,f,inanim,V,копіткість1V
курортниця,курортниця,1,f,anim,N,курортниця1N
курортниці,курортниця,1,f,anim,G,курортниця1G
курортниці,курортниця,1,f,anim,D,курортниця1D
курортницю,курортниця,1,f,anim,A,курортниця1A
курортницею,курортниця,1,f,anim,I,курортниця1I
курортниці,курортниця,1,f,anim,L,курортниця1L
курортнице,курортниця,1,f,anim,V,курортниця1V
курортниці,курортниця,2,f,anim,N,курортниця2N
курортниць,курортниця,2,f,anim,G,курортниця2G
курортницям,курортниця,2,f,anim,D,курортниця2D
курортниць,курортниця,2,f,anim,A,курортниця2A
курортниці,курортниця,2,f,anim,A,курортниця2A
курортницями,курортниця,2,f,anim,I,курортниця2I
курортницях,курортниця,2,f,anim,L,курортниця2L
курортниці,курортниця,2,f,anim,V,курортниця2V
політкоректність,політкоректність,1,f,inanim,N,політкоректність1N
політкоректності,політкоректність,1,f,inanim,G,політкоректність1G
політкоректности,політкоректність,1,f,inanim,G,політкоректність1G
політкоректності,політкоректність,1,f,inanim,D,політкоректність1D
політкоректність,політкоректність,1,f,inanim,A,політкоректність1A
політкоректністю,політкоректність,1,f,inanim,I,політкоректність1I
політкоректності,політкоректність,1,f,inanim,L,політкоректність1L
політкоректносте,політкоректність,1,f,inanim,V,політкоректність1V
псиломелан,псиломелан,1,m,inanim,N,псиломелан1N
псиломелану,псиломелан,1,m,inanim,G,псиломелан1G
псиломеланові,псиломелан,1,m,inanim,D,псиломелан1D
псиломелану,псиломелан,1,m,inanim,D,псиломелан1D
псиломелан,псиломелан,1,m,inanim,A,псиломелан1A
псиломеланом,псиломелан,1,m,inanim,I,псиломелан1I
псиломелані,псиломелан,1,m,inanim,L,псиломелан1L
псиломеланові,псиломелан,1,m,inanim,L,псиломелан1L
псиломелану,псиломелан,1,m,inanim,L,псиломелан1L
псиломелане,псиломелан,1,m,inanim,V,псиломелан1V
сек'юріті,сек'юріті,1,m,anim,N,сек'юріті1N
сек'юріті,сек'юріті,1,m,anim,G,сек'юріті1G
сек'юріті,сек'юріті,1,m,anim,D,сек'юріті1D
сек'юріті,сек'юріті,1,m,anim,A,сек'юріті1A
сек'юріті,сек'юріті,1,m,anim,I,сек'юріті1I
сек'юріті,сек'юріті,1,m,anim,L,сек'юріті1L
сек'юріті,сек'юріті,1,m,anim,V,сек'юріті1V
сек'юріті,сек'юріті,2,m,anim,N,сек'юріті2N
сек'юріті,сек'юріті,2,m,anim,G,сек'юріті2G
сек'юріті,сек'юріті,2,m,anim,D,сек'юріті2D
сек'юріті,сек'юріті,2,m,anim,A,сек'юріті2A
сек'юріті,сек'юріті,2,m,anim,I,сек'юріті2I
сек'юріті,сек'юріті,2,m,anim,L,сек'юріті2L
сек'юріті,сек'юріті,2,m,anim,V,сек'юріті2V
сек'юріті,сек'юріті,1,m,inanim,N,сек'юріті1N
сек'юріті,сек'юріті,1,m,inanim,G,сек'юріті1G
сек'юріті,сек'юріті,1,m,inanim,D,сек'юріті1D
сек'юріті,сек'юріті,1,m,inanim,A,сек'юріті1A
сек'юріті,сек'юріті,1,m,inanim,I,сек'юріті1I
сек'юріті,сек'юріті,1,m,inanim,L,сек'юріті1L
сек'юріті,сек'юріті,1,m,inanim,V,сек'юріті1V
сек'юріті,сек'юріті,2,m,inanim,N,сек'юріті2N
сек'юріті,сек'юріті,2,m,inanim,G,сек'юріті2G
сек'юріті,сек'юріті,2,m,inanim,D,сек'юріті2D
сек'юріті,сек'юріті,2,m,inanim,A,сек'юріті2A
сек'юріті,сек'юріті,2,m,inanim,I,сек'юріті2I
сек'юріті,сек'юріті,2,m,inanim,L,сек'юріті2L
сек'юріті,сек'юріті,2,m,inanim,V,сек'юріті2V
ікс,ікс,1,m,inanim,N,ікс1N
ікса,ікс,1,m,inanim,G,ікс1G
іксові,ікс,1,m,inanim,D,ікс1D
іксу,ікс,1,m,inanim,D,ікс1D
ікс,ікс,1,m,inanim,A,ікс1A
іксом,ікс,1,m,inanim,I,ікс1I
іксі,ікс,1,m,inanim,L,ікс1L
іксові,ікс,1,m,inanim,L,ікс1L
іксу,ікс,1,m,inanim,L,ікс1L
іксе,ікс,1,m,inanim,V,ікс1V
ікси,ікс,2,m,inanim,N,ікс2N
іксів,ікс,2,m,inanim,G,ікс2G
іксам,ікс,2,m,inanim,D,ікс2D
ікси,ікс,2,m,inanim,A,ікс2A
іксами,ікс,2,m,inanim,I,ікс2I
іксах,ікс,2,m,inanim,L,ікс2L
ікси,ікс,2,m,inanim,V,ікс2V
тетрахлорбензол,тетрахлорбензол,1,m,inanim,N,тетрахлорбензол1N
тетрахлорбензолу,тетрахлорбензол,1,m,inanim,G,тетрахлорбензол1G
тетрахлорбензолові,тетрахлорбензол,1,m,inanim,D,тетрахлорбензол1D
тетрахлорбензолу,тетрахлорбензол,1,m,inanim,D,тетрахлорбензол1D
тетрахлорбензол,тетрахлорбензол,1,m,inanim,A,тетрахлорбензол1A
тетрахлорбензолом,тетрахлорбензол,1,m,inanim,I,тетрахлорбензол1I
тетрахлорбензолі,тетрахлорбензол,1,m,inanim,L,тетрахлорбензол1L
тетрахлорбензолові,тетрахлорбензол,1,m,inanim,L,тетрахлорбензол1L
тетрахлорбензолу,тетрахлорбензол,1,m,inanim,L,тетрахлорбензол1L
тетрахлорбензоле,тетрахлорбензол,1,m,inanim,V,тетрахлорбензол1V
мефістофель,мефістофель,1,m,anim,N,мефістофель1N
мефістофеля,мефістофель,1,m,anim,G,мефістофель1G
мефістофелеві,мефістофель,1,m,anim,D,мефістофель1D
мефістофелю,мефістофель,1,m,anim,D,мефістофель1D
мефістофеля,мефістофель,1,m,anim,A,мефістофель1A
мефістофелем,мефістофель,1,m,anim,I,мефістофель1I
мефістофелеві,мефістофель,1,m,anim,L,мефістофель1L
мефістофелі,мефістофель,1,m,anim,L,мефістофель1L
мефістофелю,мефістофель,1,m,anim,L,мефістофель1L
мефістофелю,мефістофель,1,m,anim,V,мефістофель1V
акрида,акрида,1,f,anim,N,акрида1N
акриди,акрида,1,f,anim,G,акрида1G
акриді,акрида,1,f,anim,D,акрида1D
акриду,акрида,1,f,anim,A,акрида1A
акридою,акрида,1,f,anim,I,акрида1I
акриді,акрида,1,f,anim,L,акрида1L
акридо,акрида,1,f,anim,V,акрида1V
акриди,акрида,2,f,anim,N,акрида2N
акрид,акрида,2,f,anim,G,акрида2G
акридам,акрида,2,f,anim,D,акрида2D
акрид,акрида,2,f,anim,A,акрида2A
акриди,акрида,2,f,anim,A,акрида2A
акридами,акрида,2,f,anim,I,акрида2I
акридах,акрида,2,f,anim,L,акрида2L
акриди,акрида,2,f,anim,V,акрида2V
налаштовування,налаштовування,1,n,inanim,N,налаштовування1N
налаштовування,налаштовування,1,n,inanim,G,налаштовування1G
налаштовуванню,налаштовування,1,n,inanim,D,налаштовування1D
налаштовування,налаштовування,1,n,inanim,A,налаштовування1A
налаштовуванням,налаштовування,1,n,inanim,I,налаштовування1I
налаштовуванні,налаштовування,1,n,inanim,L,налаштовування1L
налаштовуванню,налаштовування,1,n,inanim,L,налаштовування1L
налаштовування,налаштовування,1,n,inanim,V,налаштовування1V
експериментаторство,експериментаторство,1,n,inanim,N,експериментаторство1N
експериментаторства,експериментаторство,1,n,inanim,G,експериментаторство1G
експериментаторству,експериментаторство,1,n,inanim,D,експериментаторство1D
експериментаторство,експериментаторство,1,n,inanim,A,експериментаторство1A
експериментаторством,експериментаторство,1,n,inanim,I,експериментаторство1I
експериментаторстві,експериментаторство,1,n,inanim,L,експериментаторство1L
експериментаторству,експериментаторство,1,n,inanim,L,експериментаторство1L
експериментаторство,експериментаторство,1,n,inanim,V,експериментаторство1V
мастеринг,мастеринг,1,m,inanim,N,мастеринг1N
мастерингу,мастеринг,1,m,inanim,G,мастеринг1G
мастерингові,мастеринг,1,m,inanim,D,мастеринг1D
мастерингу,мастеринг,1,m,inanim,D,мастеринг1D
мастеринг,мастеринг,1,m,inanim,A,мастеринг1A
мастерингом,мастеринг,1,m,inanim,I,мастеринг1I
мастерингові,мастеринг,1,m,inanim,L,мастеринг1L
мастерингу,мастеринг,1,m,inanim,L,мастеринг1L
мастерингу,мастеринг,1,m,inanim,V,мастеринг1V
верткість,верткість,1,f,inanim,N,верткість1N
верткості,верткість,1,f,inanim,G,верткість1G
верткости,верткість,1,f,inanim,G,верткість1G
верткості,верткість,1,f,inanim,D,верткість1D
верткість,верткість,1,f,inanim,A,верткість1A
верткістю,верткість,1,f,inanim,I,верткість1I
верткості,верткість,1,f,inanim,L,верткість1L
верткосте,верткість,1,f,inanim,V,верткість1V
верткості,верткість,2,f,inanim,N,верткість2N
верткостей,верткість,2,f,inanim,G,верткість2G
верткостям,верткість,2,f,inanim,D,верткість2D
верткості,верткість,2,f,inanim,A,верткість2A
верткостями,верткість,2,f,inanim,I,верткість2I
верткостях,верткість,2,f,inanim,L,верткість2L
верткості,верткість,2,f,inanim,V,верткість2V
снігозапаси,снігозапаси,2,f,inanim,N,снігозапаси2N
снігозапасів,снігозапаси,2,f,inanim,G,снігозапаси2G
снігозапасам,снігозапаси,2,f,inanim,D,снігозапаси2D
снігозапаси,снігозапаси,2,f,inanim,A,снігозапаси2A
снігозапасами,снігозапаси,2,f,inanim,I,снігозапаси2I
снігозапасах,снігозапаси,2,f,inanim,L,снігозапаси2L
снігозапаси,снігозапаси,2,f,inanim,V,снігозапаси2V
мозазавр,мозазавр,1,m,anim,N,мозазавр1N
мозазавра,мозазавр,1,m,anim,G,мозазавр1G
мозазаврові,мозазавр,1,m,anim,D,мозазавр1D
мозазавру,мозазавр,1,m,anim,D,мозазавр1D
мозазавра,мозазавр,1,m,anim,A,мозазавр1A
мозазавром,мозазавр,1,m,anim,I,мозазавр1I
мозазаврі,мозазавр,1,m,anim,L,мозазавр1L
мозазаврові,мозазавр,1,m,anim,L,мозазавр1L
мозазавру,мозазавр,1,m,anim,L,мозазавр1L
мозазавре,мозазавр,1,m,anim,V,мозазавр1V
мозазаври,мозазавр,2,m,anim,N,мозазавр2N
мозазаврів,мозазавр,2,m,anim,G,мозазавр2G
мозазаврам,мозазавр,2,m,anim,D,мозазавр2D
мозазаври,мозазавр,2,m,anim,A,мозазавр2A
мозазаврів,мозазавр,2,m,anim,A,мозазавр2A
мозазаврами,мозазавр,2,m,anim,I,мозазавр2I
мозазаврах,мозазавр,2,m,anim,L,мозазавр2L
мозазаври,мозазавр,2,m,anim,V,мозазавр2V
прозелень,прозелень,1,f,inanim,N,прозелень1N
прозелені,прозелень,1,f,inanim,G,прозелень1G
прозелені,прозелень,1,f,inanim,D,прозелень1D
прозелень,прозелень,1,f,inanim,A,прозелень1A
прозеленню,прозелень,1,f,inanim,I,прозелень1I
прозелені,прозелень,1,f,inanim,L,прозелень1L
прозелене,прозелень,1,f,inanim,V,прозелень1V
соленоїд,соленоїд,1,m,inanim,N,соленоїд1N
соленоїда,соленоїд,1,m,inanim,G,соленоїд1G
соленоїдові,соленоїд,1,m,inanim,D,соленоїд1D
соленоїду,соленоїд,1,m,inanim,D,соленоїд1D
соленоїд,соленоїд,1,m,inanim,A,соленоїд1A
соленоїдом,соленоїд,1,m,inanim,I,соленоїд1I
соленоїді,соленоїд,1,m,inanim,L,соленоїд1L
соленоїдові,соленоїд,1,m,inanim,L,соленоїд1L
соленоїду,соленоїд,1,m,inanim,L,соленоїд1L
соленоїде,соленоїд,1,m,inanim,V,соленоїд1V
соленоїди,соленоїд,2,m,inanim,N,соленоїд2N
соленоїдів,соленоїд,2,m,inanim,G,соленоїд2G
соленоїдам,соленоїд,2,m,inanim,D,соленоїд2D
соленоїди,соленоїд,2,m,inanim,A,соленоїд2A
соленоїдами,соленоїд,2,m,inanim,I,соленоїд2I
соленоїдах,соленоїд,2,m,inanim,L,соленоїд2L
соленоїди,соленоїд,2,m,inanim,V,соленоїд2V
фордизація,фордизація,1,f,inanim,N,фордизація1N
фордизації,фордизація,1,f,inanim,G,фордизація1G
фордизації,фордизація,1,f,inanim,D,фордизація1D
фордизацію,фордизація,1,f,inanim,A,фордизація1A
фордизацією,фордизація,1,f,inanim,I,фордизація1I
фордизації,фордизація,1,f,inanim,L,фордизація1L
фордизаціє,фордизація,1,f,inanim,V,фордизація1V
вітрюга,вітрюга,1,m,inanim,N,вітрюга1N
вітрюги,вітрюга,1,m,inanim,G,вітрюга1G
вітрюзі,вітрюга,1,m,inanim,D,вітрюга1D
вітрюгу,вітрюга,1,m,inanim,A,вітрюга1A
вітрюгою,вітрюга,1,m,inanim,I,вітрюга1I
вітрюзі,вітрюга,1,m,inanim,L,вітрюга1L
вітрюго,вітрюга,1,m,inanim,V,вітрюга1V
цвітистість,цвітистість,1,f,inanim,N,цвітистість1N
цвітистості,цвітистість,1,f,inanim,G,цвітистість1G
цвітистости,цвітистість,1,f,inanim,G,цвітистість1G
цвітистості,цвітистість,1,f,inanim,D,цвітистість1D
цвітистість,цвітистість,1,f,inanim,A,цвітистість1A
цвітистістю,цвітистість,1,f,inanim,I,цвітистість1I
цвітистості,цвітистість,1,f,inanim,L,цвітистість1L
цвітистосте,цвітистість,1,f,inanim,V,цвітистість1V
одстрочення,одстрочення,1,n,inanim,N,одстрочення1N
одстрочення,одстрочення,1,n,inanim,G,одстрочення1G
одстроченню,одстрочення,1,n,inanim,D,одстрочення1D
одстрочення,одстрочення,1,n,inanim,A,одстрочення1A
одстроченням,одстрочення,1,n,inanim,I,одстрочення1I
одстроченні,одстрочення,1,n,inanim,L,одстрочення1L
одстроченню,одстрочення,1,n,inanim,L,одстрочення1L
одстрочення,одстрочення,1,n,inanim,V,одстрочення1V
одстрочення,одстрочення,2,n,inanim,N,одстрочення2N
одстрочень,одстрочення,2,n,inanim,G,одстрочення2G
одстроченням,одстрочення,2,n,inanim,D,одстрочення2D
одстрочення,одстрочення,2,n,inanim,A,одстрочення2A
одстроченнями,одстрочення,2,n,inanim,I,одстрочення2I
одстроченнях,одстрочення,2,n,inanim,L,одстрочення2L
одстрочення,одстрочення,2,n,inanim,V,одстрочення2V
годованець,годованець,1,m,anim,N,годованець1N
годованця,годованець,1,m,anim,G,годованець1G
годованцеві,годованець,1,m,anim,D,годованець1D
годованцю,годованець,1,m,anim,D,годованець1D
годованця,годованець,1,m,anim,A,годованець1A
годованцем,годованець,1,m,anim,I,годованець1I
годованцеві,годованець,1,m,anim,L,годованець1L
годованці,годованець,1,m,anim,L,годованець1L
годованцю,годованець,1,m,anim,L,годованець1L
годованцю,годованець,1,m,anim,V,годованець1V
годованці,годованець,2,m,anim,N,годованець2N
годованців,годованець,2,m,anim,G,годованець2G
годованцям,годованець,2,m,anim,D,годованець2D
годованців,годованець,2,m,anim,A,годованець2A
годованці,годованець,2,m,anim,A,годованець2A
годованцями,годованець,2,m,anim,I,годованець2I
годованцях,годованець,2,m,anim,L,годованець2L
годованці,годованець,2,m,anim,V,годованець2V
краундівестинг,краундівестинг,1,m,inanim,N,краундівестинг1N
краундівестингу,краундівестинг,1,m,inanim,G,краундівестинг1G
краундівестингові,краундівестинг,1,m,inanim,D,краундівестинг1D
краундівестингу,краундівестинг,1,m,inanim,D,краундівестинг1D
краундівестинг,краундівестинг,1,m,inanim,A,краундівестинг1A
краундівестингом,краундівестинг,1,m,inanim,I,краундівестинг1I
краундівестингові,краундівестинг,1,m,inanim,L,краундівестинг1L
краундівестингу,краундівестинг,1,m,inanim,L,краундівестинг1L
краундівестингу,краундівестинг,1,m,inanim,V,краундівестинг1V
букля,букля,1,f,inanim,N,букля1N
буклі,букля,1,f,inanim,G,букля1G
буклі,букля,1,f,inanim,D,букля1D
буклю,букля,1,f,inanim,A,букля1A
буклею,букля,1,f,inanim,I,букля1I
буклі,букля,1,f,inanim,L,букля1L
букле,букля,1,f,inanim,V,букля1V
буклі,букля,2,f,inanim,N,букля2N
буклів,букля,2,f,inanim,G,букля2G
буклям,букля,2,f,inanim,D,букля2D
буклі,букля,2,f,inanim,A,букля2A
буклями,букля,2,f,inanim,I,букля2I
буклях,букля,2,f,inanim,L,букля2L
буклі,букля,2,f,inanim,V,букля2V
десакралізація,десакралізація,1,f,inanim,N,десакралізація1N
десакралізації,десакралізація,1,f,inanim,G,десакралізація1G
десакралізації,десакралізація,1,f,inanim,D,десакралізація1D
десакралізацію,десакралізація,1,f,inanim,A,десакралізація1A
десакралізацією,десакралізація,1,f,inanim,I,десакралізація1I
десакралізації,десакралізація,1,f,inanim,L,десакралізація1L
десакралізаціє,десакралізація,1,f,inanim,V,десакралізація1V
зжолобленість,зжолобленість,1,f,inanim,N,зжолобленість1N
зжолобленості,зжолобленість,1,f,inanim,G,зжолобленість1G
зжолоблености,зжолобленість,1,f,inanim,G,зжолобленість1G
зжолобленості,зжолобленість,1,f,inanim,D,зжолобленість1D
зжолобленість,зжолобленість,1,f,inanim,A,зжолобленість1A
зжолобленістю,зжолобленість,1,f,inanim,I,зжолобленість1I
зжолобленості,зжолобленість,1,f,inanim,L,зжолобленість1L
зжолобленосте,зжолобленість,1,f,inanim,V,зжолобленість1V
велотур,велотур,1,m,inanim,N,велотур1N
велотуру,велотур,1,m,inanim,G,велотур1G
велотурові,велотур,1,m,inanim,D,велотур1D
велотуру,велотур,1,m,inanim,D,велотур1D
велотур,велотур,1,m,inanim,A,велотур1A
велотуром,велотур,1,m,inanim,I,велотур1I
велотурі,велотур,1,m,inanim,L,велотур1L
велотурові,велотур,1,m,inanim,L,велотур1L
велотуру,велотур,1,m,inanim,L,велотур1L
велотуре,велотур,1,m,inanim,V,велотур1V
велотури,велотур,2,m,inanim,N,велотур2N
велотурів,велотур,2,m,inanim,G,велотур2G
велотурам,велотур,2,m,inanim,D,велотур2D
велотури,велотур,2,m,inanim,A,велотур2A
велотурами,велотур,2,m,inanim,I,велотур2I
велотурах,велотур,2,m,inanim,L,велотур2L
велотури,велотур,2,m,inanim,V,велотур2V
богослов'я,богослов'я,1,n,inanim,N,богослов'я1N
богослов'я,богослов'я,1,n,inanim,G,богослов'я1G
богослов'ю,богослов'я,1,n,inanim,D,богослов'я1D
богослов'я,богослов'я,1,n,inanim,A,богослов'я1A
богослов'ям,богослов'я,1,n,inanim,I,богослов'я1I
богослов'ї,богослов'я,1,n,inanim,L,богослов'я1L
богослов'ю,богослов'я,1,n,inanim,L,богослов'я1L
богослов'я,богослов'я,1,n,inanim,V,богослов'я1V
геокріологія,геокріологія,1,f,inanim,N,геокріологія1N
геокріології,геокріологія,1,f,inanim,G,геокріологія1G
геокріології,геокріологія,1,f,inanim,D,геокріологія1D
геокріологію,геокріологія,1,f,inanim,A,геокріологія1A
геокріологією,геокріологія,1,f,inanim,I,геокріологія1I
геокріології,геокріологія,1,f,inanim,L,геокріологія1L
геокріологіє,геокріологія,1,f,inanim,V,геокріологія1V
мейстер,мейстер,1,m,anim,N,мейстер1N
мейстера,мейстер,1,m,anim,G,мейстер1G
мейстерові,мейстер,1,m,anim,D,мейстер1D
мейстеру,мейстер,1,m,anim,D,мейстер1D
мейстера,мейстер,1,m,anim,A,мейстер1A
мейстером,мейстер,1,m,anim,I,мейстер1I
мейстері,мейстер,1,m,anim,L,мейстер1L
мейстерові,мейстер,1,m,anim,L,мейстер1L
мейстеру,мейстер,1,m,anim,L,мейстер1L
мейстере,мейстер,1,m,anim,V,мейстер1V
мейстери,мейстер,2,m,anim,N,мейстер2N
мейстерів,мейстер,2,m,anim,G,мейстер2G
мейстерам,мейстер,2,m,anim,D,мейстер2D
мейстерів,мейстер,2,m,anim,A,мейстер2A
мейстери,мейстер,2,m,anim,A,мейстер2A
мейстерами,мейстер,2,m,anim,I,мейстер2I
мейстерах,мейстер,2,m,anim,L,мейстер2L
мейстери,мейстер,2,m,anim,V,мейстер2V
козівник,козівник,1,m,anim,N,козівник1N
козівника,козівник,1,m,anim,G,козівник1G
козівникові,козівник,1,m,anim,D,козівник1D
козівнику,козівник,1,m,anim,D,козівник1D
козівника,козівник,1,m,anim,A,козівник1A
козівником,козівник,1,m,anim,I,козівник1I
козівникові,козівник,1,m,anim,L,козівник1L
козівнику,козівник,1,m,anim,L,козівник1L
козівнику,козівник,1,m,anim,V,козівник1V
козівники,козівник,2,m,anim,N,козівник2N
козівників,козівник,2,m,anim,G,козівник2G
козівникам,козівник,2,m,anim,D,козівник2D
козівників,козівник,2,m,anim,A,козівник2A
козівники,козівник,2,m,anim,A,козівник2A
козівниками,козівник,2,m,anim,I,козівник2I
козівниках,козівник,2,m,anim,L,козівник2L
козівники,козівник,2,m,anim,V,козівник2V
половинщик,половинщик,1,m,anim,N,половинщик1N
половинщика,половинщик,1,m,anim,G,половинщик1G
половинщикові,половинщик,1,m,anim,D,половинщик1D
половинщику,половинщик,1,m,anim,D,половинщик1D
половинщика,половинщик,1,m,anim,A,половинщик1A
половинщиком,половинщик,1,m,anim,I,половинщик1I
половинщикові,половинщик,1,m,anim,L,половинщик1L
половинщику,половинщик,1,m,anim,L,половинщик1L
половинщику,половинщик,1,m,anim,V,половинщик1V
половинщики,половинщик,2,m,anim,N,половинщик2N
половинщиків,половинщик,2,m,anim,G,половинщик2G
половинщикам,половинщик,2,m,anim,D,половинщик2D
половинщиків,половинщик,2,m,anim,A,половинщик2A
половинщики,половинщик,2,m,anim,A,половинщик2A
половинщиками,половинщик,2,m,anim,I,половинщик2I
половинщиках,половинщик,2,m,anim,L,половинщик2L
половинщики,половинщик,2,m,anim,V,половинщик2V
одбудування,одбудування,1,n,inanim,N,одбудування1N
одбудування,одбудування,1,n,inanim,G,одбудування1G
одбудуванню,одбудування,1,n,inanim,D,одбудування1D
одбудування,одбудування,1,n,inanim,A,одбудування1A
одбудуванням,одбудування,1,n,inanim,I,одбудування1I
одбудуванні,одбудування,1,n,inanim,L,одбудування1L
одбудуванню,одбудування,1,n,inanim,L,одбудування1L
одбудування,одбудування,1,n,inanim,V,одбудування1V
одбудування,одбудування,2,n,inanim,N,одбудування2N
одбудувань,одбудування,2,n,inanim,G,одбудування2G
одбудуванням,одбудування,2,n,inanim,D,одбудування2D
одбудування,одбудування,2,n,inanim,A,одбудування2A
одбудуваннями,одбудування,2,n,inanim,I,одбудування2I
одбудуваннях,одбудування,2,n,inanim,L,одбудування2L
одбудування,одбудування,2,n,inanim,V,одбудування2V
фарфоромішалка,фарфоромішалка,1,f,inanim,N,фарфоромішалка1N
фарфоромішалки,фарфоромішалка,1,f,inanim,G,фарфоромішалка1G
фарфоромішалці,фарфоромішалка,1,f,inanim,D,фарфоромішалка1D
фарфоромішалку,фарфоромішалка,1,f,inanim,A,фарфоромішалка1A
фарфоромішалкою,фарфоромішалка,1,f,inanim,I,фарфоромішалка1I
фарфоромішалці,фарфоромішалка,1,f,inanim,L,фарфоромішалка1L
фарфоромішалко,фарфоромішалка,1,f,inanim,V,фарфоромішалка1V
фарфоромішалки,фарфоромішалка,2,f,inanim,N,фарфоромішалка2N
фарфоромішалок,фарфоромішалка,2,f,inanim,G,фарфоромішалка2G
фарфоромішалкам,фарфоромішалка,2,f,inanim,D,фарфоромішалка2D
фарфоромішалки,фарфоромішалка,2,f,inanim,A,фарфоромішалка2A
фарфоромішалками,фарфоромішалка,2,f,inanim,I,фарфоромішалка2I
